R00277,C00647
R00278,C00627
R00279,C00217
R00286,C00029
R00286,C00167
R00287,C00029
R00287,C00029
R00289,C00029
R00289,C00103
R00291,C00029
R00291,C00052
R00292,C00029
R00293,C00029
R00299,C00031
R00305,C00031
R00305,C00198
R00306,C00185
R00308,C00965
R00310,C02191
R00310,C14818
R00312,C00032
R00313,C00032
R00314,C00032
R00315,C00033
R00315,C00227
R00316,C00033
R00316,C05993
R00317,C00227
R00318,C05682
R00319,C00186
R00320,C00033
R00320,C00227
R00322,C05993
R00325,C02614
R00325,C02614
R00326,C00033
R00326,C00084
R00328,C00035
R00330,C00035
R00330,C00044
R00332,C00035
R00332,C00144
R00335,C00044
R00336,C00035
R00336,C01228
R00339,C00036
R00339,C00898
R00341,C00011
R00341,C00036
R00341,C00036
R00341,C00074
R00342,C00036
R00342,C00149
R00343,C00036
R00343,C00149
R00344,C00022
R00345,C00011
R00345,C00074
R00346,C00036
R00346,C00074
R00348,C02362
R00350,C04115
R00351,C00024
R00351,C00024
R00351,C00036
R00351,C00036
R00351,C00158
R00351,C00158
R00352,C00024
R00352,C00024
R00352,C00036
R00352,C00036
R00352,C00158
R00352,C00158
R00353,C00024
R00353,C00083
R00355,C00025
R00355,C00026
R00355,C00036
R00355,C00049
R00357,C00049
R00359,C00402
R00360,C00149
R00362,C00033
R00362,C00036
R00362,C00158
R00362,C00158
R00364,C00037
R00366,C00037
R00367,C00037
R00367,C00213
R00369,C00037
R00369,C00041
R00369,C00048
R00371,C00037
R00371,C03508
R00372,C00037
R00372,C00048
R00374,C00037
R00375,C00039
R00375,C00131
R00376,C00039
R00376,C00286
R00377,C00039
R00377,C00458
R00378,C00039
R00378,C00459
R00396,C00022
R00396,C00041
R00397,C00049
R00400,C00022
R00401,C00041
R00401,C00133
R00405,C00042
R00405,C00091
R00408,C00042
R00408,C00122
R00409,C00042
R00409,C04593
R00410,C00164
R00410,C00332
R00411,C05931
R00412,C00042
R00412,C00122
R00414,C00043
R00414,C00645
R00416,C00043
R00416,C04501
R00418,C00043
R00418,C00203
R00419,C00043
R00420,C00043
R00420,C01170
R00421,C00043
R00422,C00043
R00423,C00043
R00425,C00044
R00426,C00044
R00428,C00044
R00429,C00044
R00430,C00035
R00430,C00044
R00431,C00036
R00431,C00074
R00432,C00042
R00432,C00091
R00434,C00044
R00435,C00002
R00435,C00046
R00437,C00008
R00437,C00046
R00438,C00015
R00438,C00046
R00439,C00035
R00439,C00046
R00440,C00046
R00440,C00112
R00441,C00044
R00441,C00046
R00442,C00046
R00442,C00063
R00443,C00046
R00443,C00075
R00447,C00047
R00448,C00047
R00449,C00047
R00451,C00680
R00452,C00047
R00452,C04020
R00454,C00047
R00454,C02727
R00457,C00047
R00457,C04076
R00458,C02727
R00459,C00047
R00460,C00047
R00460,C00739
R00461,C00047
R00462,C00047
R00465,C00048
R00465,C00160
R00466,C00048
R00468,C00048
R00468,C00313
R00469,C00603
R00469,C00603
R00469,C00603
R00470,C00022
R00470,C00048
R00470,C01127
R00470,C01127
R00471,C00022
R00471,C00048
R00471,C05946
R00471,C05946
R00472,C00024
R00472,C00048
R00472,C00149
R00472,C00149
R00473,C00048
R00473,C04348
R00474,C00026
R00474,C00048
R00475,C00160
R00476,C00160
R00477,C00036
R00477,C00048
R00477,C01990
R00477,C01990
R00479,C00311
R00479,C00311
R00480,C00049
R00481,C00049
R00482,C00014
R00482,C00049
R00483,C00014
R00483,C00049
R00484,C00438
R00485,C00152
R00485,C00152
R00486,C02512
R00488,C01042
R00489,C00049
R00490,C00049
R00490,C00049
R00490,C00122
R00491,C00049
R00491,C00402
R00493,C00049
R00494,C00051
R00494,C00051
R00497,C00037
R00497,C00669
R00501,C00052
R00502,C00052
R00502,C00446
R00503,C00052
R00506,C00052
R00507,C00053
R00507,C00053
R00508,C00053
R00509,C00053
R00509,C00224
R00510,C00055
R00511,C00055
R00512,C00055
R00512,C00112
R00513,C00475
R00514,C00112
R00515,C00063
R00516,C00475
R00517,C00475
R00518,C00058
R00518,C02405
R00519,C00011
R00519,C00058
R00519,C00058
R00519,C00080
R00521,C00798
R00522,C00209
R00524,C00488
R00524,C00488
R00525,C01045
R00525,C01045
R00526,C01044
R00526,C01044
R00527,C01031
R00528,C00094
R00529,C00059
R00530,C00059
R00531,C00224
R00533,C00094
R00535,C00951
R00536,C05299
R00537,C05302
R00540,C00726
R00540,C00726
R00548,C00061
R00549,C00255
R00551,C00062
R00551,C00062
R00552,C00062
R00554,C00062
R00556,C00062
R00557,C00062
R00558,C00062
R00559,C00062
R00562,C00062
R00562,C04137
R00563,C00062
R00563,C01682
R00565,C00037
R00565,C00062
R00565,C00581
R00566,C00062
R00567,C00062
R00567,C00792
R00568,C00063
R00569,C00063
R00570,C00063
R00570,C00112
R00571,C00075
R00573,C00075
R00575,C00064
R00575,C00288
R00576,C00064
R00576,C00940
R00578,C00049
R00578,C00064
R00578,C00152
R00579,C00064
R00579,C00819
R00582,C01005
R00585,C00065
R00585,C00168
R00586,C00065
R00586,C00979
R00588,C00048
R00589,C00065
R00589,C00740
R00590,C00065
R00602,C00132
R00604,C00067
R00605,C00067
R00605,C00132
R00606,C00218
R00608,C00132
R00609,C01046
R00610,C00213
R00611,C00213
R00615,C00068
R00616,C00068
R00617,C01081
R00618,C03028
R00619,C00378
R00621,C00026
R00621,C00068
R00623,C00071
R00623,C00226
R00629,C00053
R00631,C00162
R00638,C00071
R00639,C00226
R00640,C01115
R00643,C01115
R00644,C00072
R00644,C05422
R00645,C00072
R00645,C01041
R00646,C00072
R00646,C01620
R00647,C00072
R00647,C03289
R00648,C00073
R00650,C00155
R00653,C00073
R00653,C03145
R00653,C03145
R00657,C00073
